Unit Kebudayaan Melayu Riau (UKMR),1.547,-0.117
Unit Kesenian Minangkabau ITB,1.494,-0.117
Unit Kesenian Sumatera Utara (UKSU),1.44,-0.117
Mahasiswa Bumi Sriwijaya (MUSI),1.386,-0.117
Unit Budaya Lampung (UBALA),1.333,-0.117
Unit Kesenian Sulawesi Selatan (UKSS),1.279,-0.117
Unit Kebudayaan Aceh,1.226,-0.117
Maha Gotra Ganesha (MGG),1.172,-0.117
Unit Kebudayaan Tionghoa (UKT),1.119,-0.117
Boulevard,1.547,0.099
8EH Radio ITB,1.494,0.099
Ganesha Interactive Media,1.44,0.099
Liga Film Mahasiswa ITB,1.386,0.099
Keluarga Mahasiswa Hindu Vidya Dharma Putra Ganesha ITB (KMH),1.333,0.099
Persekutuan Mahasiswa Kristen (PMK) ITB,1.279,0.099
Keluarga Mahasiwa Katolik ITB,1.226,0.099
Keluarga Mahasiswa Islam (GAMAIS) ITB,1.144,0.099
Keluarga Mahasiswa Buddhis Dhammañano,1.065,0.099
PSIK,1.012,0.099
ISH Tiang Bendera,0.958,0.099
Society of Renewable Energy (SRE ITB),0.905,0.099
U-Green,0.85,0.099
Techno Entrepreneur Club (TEC) ITB,0.323,0.099
KOKESMA ITB (Koperasi Kesejahteraan Mahasiswa ITB),0.27,0.099
Forum Bidik Misi,0.216,0.099
Solve It ITB,0.162,0.099
Amateur Radio Club,0.108,0.099
Ganesha Model United Nations (GMUN) Club,0.055,0.099
KMPA,0.002,0.099
Resimen Mahasiswa Mahawarman Batalyon I/ITB,-0.051,0.099
Aksantara,-0.105,0.099
Pramuka ITB,-0.158,0.099
AIESEC in ITB,-0.212,0.099
Unit Robotika (URO) ITB,-0.266,0.099
Kelompok Studi Ekonomi dan Pasar Modal (KSEP),-1.055,0.099
Taekwondo ITB,0.323,-0.117
Perisai Diri ITB (PD ITB),0.27,-0.117
Unit Renang dan Polo Air ITB (URPA ITB),0.216,-0.117
Atletik Ganesha (ATLAS),0.162,-0.117
Unit Panahan Pasopati ITB,0.108,-0.117
Persatuan Sepakbola ITB (PS ITB),0.055,-0.117
PSHT,0.002,-0.117
AIKIDO,-0.051,-0.117
Unit Bulu Tangkis ITB (UBT ITB),-0.105,-0.117
Percama ITB,-0.158,-0.117
CISCO,-0.212,-0.117
Unit Aktivitas Bridge ITB,-0.266,-0.117
Unit Ganesha Golf ITB (UGG ITB),-0.319,-0.117
Unit Bola Voli (UBV),-0.371,-0.117
Unit Basket Ganesha (UBG ITB),-0.426,-0.117
Unit Tennis ITB,-0.48,-0.117
Unit Softball ITB (US ITB),-0.533,-0.117
Cerberus Racing Team ITB,-0.587,-0.117
Karate ITB,-0.642,-0.117
Keluarga Paduan Angklung (KPA),-0.825,-0.117
Lingkung Seni Sunda,-0.88,-0.117
Apres! ITB,-0.932,-0.117
Marching Band Waditra Ganesha (MBWG),-1.013,-0.117
Gajah Ngomik,-1.093,-0.117
ITBJazz,-1.149,-0.117
Perkumpulan Seni dan Tari Karawitan Jawa (PSTK),-1.326,-0.117
Studi Teater Mahasiswa (STEMA),-1.38,-0.117
ITB Student Orchestra (ISO),-1.433,-0.117
Paduan Suara Mahasiswa (PSM),-1.488,-0.117
Capoeira Brasil,-1.54,-0.117
Infinity,-1.595,-0.117
Korean Culture Club ITB (KCC ITB),-1.136,0.099
Genshiken,-1.19,0.099
Unit Kebudayaan Jepang (UKJ),-1.242,0.099
"HIMA TG ""TERRA"" ITB",-0.504,0.734
HMK 'AMISCA' ITB,-0.504,0.681
"HMTM ""PATRA"" ITB",-0.504,0.57
HIMASDA-ITB,-0.504,0.465
HMIF ITB,-0.504,0.357
HIMASTRON ITB,-0.732,0.734
"IMT ""SIGNUM"" ITB",-0.732,0.681
MTI ITB,-0.732,0.626
IMMG ITB,-0.732,0.57
HME ITB,-0.732,0.518
"IMK ""ARTHA"" ITB",-0.732,0.465
"HMTB ""Rinuva"" ITB",-0.732,0.411
HMH 'SELVA' ITB,-0.732,0.357
Kabinet KM ITB,-0.732,0.788
Salman ITB,-0.732,0.867