"Himamikro ""Archaea"" ITB - Produksi Tepung Mocaf (Modified Cassava Flour) dari Singkong yang Baik untuk Kesehatan dan Komersialisasi Tepung Mocaf di Desa Cintaasih, Kecamatan Cipongkor, Kabupaten Bandung Barat",-0.464,0.348
"HME ITB - Program Instalasi PLTS Off Grid 2,1 kWp di Desa Gumbang, Nusa Tenggara Timur",-0.367,0.348
HMTL ITB - Edukasi dan Peningkatan Kualitas Lingkungan Wilayah Pesisir,-0.269,0.348
"HMTG ""GEA"" (Geohumanism HMTG GEA 2023) - Pemetaan Sumber Air dan Kualitasnya Untuk Pemenuhan Kebutuhan dan Agrogeologi di Kampung Bojong Huni â€“ Bandung Barat",-0.168,0.348
UKM Pramuka ITB - Pengabdian Masyarakat Pramuka ITB Tahun 2023,-0.071,0.348
TPB FMIPA,0.029,0.348
TPB FTI,0.127,0.348
Keluarga Mahasiswa Banyumas ITB (GAMAS ITB) - Digitalisasi Pariwisata,0.225,0.348
"Pengmas Mandiri - Pembangunan Masjid Green Building Desa Poja, Kecamatan Sape Kabupaten Bima, Provinsi Nusa Tenggara Barat",-0.25,0.024
"Pengmas Mandiri - Pembangunan MCK Masjid Green Building dan Sanitasi Air Bersih Dusun Natu, Desa Poja, Kecamatan Sape, Kabupaten Bima, Provinsi Nusa Tenggara Barat",-0.152,0.024
Pengmas Mandiri - (DESAIN TATA LETAK TOKO UMKM MOOCHI SUSU LEMBANG MENGGUNAKAN MATERIAL RAMAH LINGKUNGAN),-0.053,0.024
Pengmas Mandiri - (Protecting Paradise: Olivier's Beach Conservation Story),0.047,0.024
Biofilter Berbahan Dasar Botol Kemasan Minuman Sebagai Solusi Teknologi Sanitasi Tepat Guna di Kawasan Padat Penduduk Desa Cipacing Jatinangor,0.156,-0.039
Sanitation Heroes,0.156,-0.137
Peduli pesisir ITB,0.357,0.169
Progo River : A Thousand Trees For The Next Generations (pendanaan),0.357,-0.024
"Menanam Harapan, Menjaga Lingkungan: Melestarikan Alam Melalui Penanaman 1000 Pohon di Kawasan Hutan Caplok Barong Kabupaten Cirebon, Jawa Barat (tutor asrama)",0.357,-0.125
Pembangunan Infrastruktur Lapangan Bandung Wetan dan Pembangunan Fasilitas Umum Edukasi Terkait Pemanfaatan Teknologi,0.357,-0.22
Sakola Kembara: Pembangunan Pendidikan di Kecamatan Cililin (pendanan),0.357,-0.319
"Rangkaian Kegiatan Mahasiswa Peduli untuk Meningkatkan Kesadaran Masyarakat dalam Bidang Kebersihan, Kesehatan, dan Pencegahan Pelecehan Seksual",0.357,-0.419
LFM ITB,0.182,-0.575
Gebrak Indonesia,-0.295,-0.473
Skhole-ITB Mengajar,-0.295,-0.574
KMPA - Pengmas,-0.295,-0.671
KKN 1,-1.086,-0.249
KKN 2,-1.086,-0.349
KKN 3,-1.086,-0.445
KKN 4,-0.787,-0.249
KKN 5,-0.787,-0.349
KKN 6,-0.787,-0.445